,user
8,
255,
262,
223,
693,
732,
731,
218,
65,
307,
375,
154,
433,
207,
605,
346,
427,
412,
285,
690,
502,
85,
120,
194,
702,
47,
73,
60,
372,
81,
350,
361,
19,
551,
257,
305,
429,
597,
238,
506,
84,
579,
301,
719,
242,
782,
739,
245,
634,
268,
117,
521,
459,
565,
488,
435,
666,
686,
694,
299,
543,
426,
399,
386,
530,
549,
216,
135,
202,
664,
370,
309,
711,
681,
772,
479,
59,
3,
775,
16,
518,
619,
624,
556,
187,
56,
540,
481,
349,
439,
248,
23,
747,
69,
181,
604,
274,
101,
512,
415,
558,
517,
538,
725,
148,
90,
311,
428,
629,
50,
392,
201,
649,
185,
408,
658,
49,
446,
769,
277,
754,
134,
233,
314,
705,
493,
61,
111,
766,
289,
509,
612,
763,
656,
104,
632,
57,
473,
354,
752,
247,
402,
700,
726,
205,
778,
35,
432,
430,
41,
704,
599,
414,
585,
108,
788,
651,
0,
363,
74,
224,
720,
66,
659,
335,
661,
368,
175,
457,
584,
159,
419,
161,
639,
507,
610,
353,
13,
511,
618,
355,
286,
92,
125,
114,
689,
647,
273,
722,
777,
241,
453,
189,
341,
132,
625,
524,
709,
310,
358,
8,0.0
255,0.0
262,0.0
223,0.0
693,0.0
732,0.0
731,0.0
218,0.0
65,0.0
307,0.0
375,0.0
154,0.0
433,0.0
207,0.0
605,0.0
346,0.0
427,0.0
412,0.0
285,0.0
690,0.0
502,0.0
85,0.0
120,0.0
194,0.0
702,0.0
47,0.0
73,0.0
60,0.0
372,0.0
81,0.0
350,0.0
361,0.0
19,0.0
551,0.0
257,0.0
305,0.0
429,0.0
597,0.0
238,0.0
506,0.0
84,0.0
579,0.0
301,0.0
719,0.0
242,0.0
782,0.0
739,0.0
245,0.0
634,0.0
268,0.0
117,0.0
521,0.0
459,0.0
565,0.0
488,0.0
435,0.0
666,0.0
686,0.0
694,0.0
299,0.0
543,0.0
426,0.0
399,0.0
386,0.0
530,0.0
549,0.0
216,0.0
135,0.0
202,0.0
664,0.0
370,0.0
309,0.0
711,0.0
681,0.0
772,0.0
479,0.0
59,0.0
3,0.0
775,0.0
16,0.0
518,0.0
619,0.0
624,0.0
556,0.0
187,0.0
56,0.0
540,0.0
481,0.0
349,0.0
439,0.0
248,0.0
23,0.0
747,0.0
69,0.0
181,0.0
604,0.0
274,0.0
101,0.0
512,0.0
415,0.0
558,0.0
517,0.0
538,0.0
725,0.0
148,0.0
90,0.0
311,0.0
428,0.0
629,0.0
50,0.0
392,0.0
201,0.0
649,0.0
185,0.0
408,0.0
658,0.0
49,0.0
446,0.0
769,0.0
277,0.0
754,0.0
134,0.0
233,0.0
314,0.0
705,0.0
493,0.0
61,0.0
111,0.0
766,0.0
289,0.0
509,0.0
612,0.0
763,0.0
656,0.0
104,0.0
632,0.0
57,0.0
473,0.0
354,0.0
752,0.0
247,0.0
402,0.0
700,0.0
726,0.0
205,0.0
778,0.0
35,0.0
432,0.0
430,0.0
41,0.0
704,0.0
599,0.0
414,0.0
585,0.0
108,0.0
788,0.0
651,0.0
0,0.0
363,0.0
74,0.0
224,0.0
720,0.0
66,0.0
659,0.0
335,0.0
661,0.0
368,0.0
175,0.0
457,0.0
584,0.0
159,0.0
419,0.0
161,0.0
639,0.0
507,0.0
610,0.0
353,0.0
13,0.0
511,0.0
618,0.0
355,0.0
286,0.0
92,0.0
125,0.0
114,0.0
689,0.0
647,0.0
273,0.0
722,0.0
777,0.0
241,0.0
453,0.0
189,0.0
341,0.0
132,0.0
625,0.0
524,0.0
709,0.0
310,0.0
358,0.0
