,user
138210,
140574,
25423,
46020,
109311,
92484,
125227,
133534,
99438,
124395,
84613,
144372,
94762,
8644,
78895,
96258,
48954,
57895,
73611,
90220,
64349,
10444,
27239,
71773,
12934,
36904,
109601,
127275,
91594,
77580,
9581,
97566,
54171,
75889,
47380,
64281,
125387,
3444,
134875,
142342,
72608,
7561,
125661,
146315,
6569,
76683,
57252,
89783,
46143,
42999,
54978,
114296,
43770,
136762,
105045,
34697,
82392,
108739,
122375,
11312,
113095,
45515,
24693,
70541,
125365,
36278,
134449,
136333,
103912,
13837,
61455,
1862,
83704,
12110,
88851,
44977,
80809,
58364,
17256,
135023,
49740,
131704,
69952,
135749,
36884,
77460,
2680,
83991,
48393,
19712,
55092,
32248,
137725,
67868,
91230,
90244,
128939,
80118,
70418,
108224,
143810,
73976,
142847,
142670,
147456,
53858,
62818,
130661,
130041,
43404,
112196,
118419,
126383,
116476,
45203,
124862,
92233,
137934,
139591,
62973,
123765,
13832,
3237,
127244,
114151,
37635,
132639,
20583,
117127,
99072,
133600,
70926,
26788,
22895,
138649,
108642,
77523,
46755,
2040,
109411,
102536,
86484,
68112,
133097,
26956,
70068,
83740,
14367,
106146,
145527,
89351,
35579,
10662,
77252,
123623,
12675,
23427,
42912,
115783,
89665,
100607,
88073,
77784,
30369,
98239,
13696,
130924,
149421,
56593,
45312,
119682,
14923,
150085,
36044,
22930,
67856,
132357,
112375,
148410,
4283,
115242,
58085,
17395,
109313,
142401,
124139,
61830,
59497,
123433,
103279,
130016,
51411,
102589,
76558,
99403,
125728,
46746,
110500,
124240,
141093,
8,0.0
255,0.0
262,0.0
223,0.0
693,0.0
732,0.0
731,0.0
218,0.0
65,0.0
307,0.0
375,0.0
154,0.0
433,0.0
207,0.0
605,0.0
346,0.0
427,0.0
412,0.0
285,0.0
690,0.0
502,0.0
85,0.0
120,0.0
194,0.0
702,0.0
47,0.0
73,0.0
60,0.0
372,0.0
81,0.0
350,0.0
361,0.0
19,0.0
551,0.0
257,0.0
305,0.0
429,0.0
597,0.0
238,0.0
506,0.0
84,0.0
579,0.0
301,0.0
719,0.0
242,0.0
782,0.0
739,0.0
245,0.0
634,0.0
268,0.0
117,0.0
521,0.0
459,0.0
565,0.0
488,0.0
435,0.0
666,0.0
686,0.0
694,0.0
299,0.0
543,0.0
426,0.0
399,0.0
386,0.0
530,0.0
549,0.0
216,0.0
135,0.0
202,0.0
664,0.0
370,0.0
309,0.0
711,0.0
681,0.0
772,0.0
479,0.0
59,0.0
3,0.0
775,0.0
16,0.0
518,0.0
619,0.0
624,0.0
556,0.0
187,0.0
56,0.0
540,0.0
481,0.0
349,0.0
439,0.0
248,0.0
23,0.0
747,0.0
69,0.0
181,0.0
604,0.0
274,0.0
101,0.0
512,0.0
415,0.0
558,0.0
517,0.0
538,0.0
725,0.0
148,0.0
90,0.0
311,0.0
428,0.0
629,0.0
50,0.0
392,0.0
201,0.0
649,0.0
185,0.0
408,0.0
658,0.0
49,0.0
446,0.0
769,0.0
277,0.0
754,0.0
134,0.0
233,0.0
314,0.0
705,0.0
493,0.0
61,0.0
111,0.0
766,0.0
289,0.0
509,0.0
612,0.0
763,0.0
656,0.0
104,0.0
632,0.0
57,0.0
473,0.0
354,0.0
752,0.0
247,0.0
402,0.0
700,0.0
726,0.0
205,0.0
778,0.0
35,0.0
432,0.0
430,0.0
41,0.0
704,0.0
599,0.0
414,0.0
585,0.0
108,0.0
788,0.0
651,0.0
0,0.0
363,0.0
74,0.0
224,0.0
720,0.0
66,0.0
659,0.0
335,0.0
661,0.0
368,0.0
175,0.0
457,0.0
584,0.0
159,0.0
419,0.0
161,0.0
639,0.0
507,0.0
610,0.0
353,0.0
13,0.0
511,0.0
618,0.0
355,0.0
286,0.0
92,0.0
125,0.0
114,0.0
689,0.0
647,0.0
273,0.0
722,0.0
777,0.0
241,0.0
453,0.0
189,0.0
341,0.0
132,0.0
625,0.0
524,0.0
709,0.0
310,0.0
358,0.0
